Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Department
"Systems Analysis, Design and Requirements Engineering",SADRE,CSE581,None,None,Winter,CSE
Ontology Modeling,OM,CSE580A,CSE102,None,Monsoon/Winter,CSE
Advanced Internet of Things,AIOT,CSE577,None,None,Winter,CSE
Smart Sensing for Internet of Things (IoT),SSIoT,CSE576,None,None,Monsoon,CSE
Interactive Systems,ISy,CSE573,CSE201,None,Winter,CSE
Speech and Audio Processing,SAP,CSE572/ECE561,"MTH100, ECE250",None,Monsoon,CSE
Introduction to Media Computing,IMC,CSE571,None,None,Monsoon/Winter,CSE
Virtual Reality,VR,CSE570,None,None,Winter,CSE
Cloud Computing,CldC,CSE569,CSE232,None,Monsoon,CSE
Social Network Analysis,SNA,CSE568,"CSE222, CSE101, MTH201",CSE559,Winter,CSE
Programmable Networking,PN,CSE567,"CSE102, CSE231, CSE232",None,Winter,CSE
Mobile and Middleware Systems,MMS,CSE566/DES5MMS,CSE535,None,Monsoon,CSE
Software Defined Networking,SDN,CSE565,CSE232,None,Monsoon,CSE
Reinforcement Learning,RL,CSE564,MTH201,None,Monsoon,CSE
Multimedia Computing and Applications,MCA,CSE563,None,None,Winter,CSE
Advanced Computer Vision,ACV,CSE562,CSE344/CSE544/ECE344/ECE544,None,Monsoon,CSE
Probabilistic Graphical Models,PGM,CSE561,MTH201,None,Winter,CSE
GPU Computing,GPU,CSE560,CSE101,None,Winter,CSE
Mining Large Networks,MLN,CSE559,"CSE222, CSE101, MTH201",None,Winter,CSE
Data Science,DSc,CSE558,CSE101,None,Monsoon,CSE
Big Data Analytics,BDA,CSE557,CSE202,None,Winter,CSE
Natural Language Processing,NLP,CSE556,"CSE101, MTH201, CSE222, MTH100",None,Monsoon,CSE
Introduction to Spatial Computing,ISC,CSE555,"CSE102, CSE202",None,Monsoon,CSE
Security Engineering,SE,CSE552,CSE231,None,Monsoon/Winter,CSE
Applied Cryptography,AC,CSE546,CSE121,None,Monsoon/Winter,CSE
Wireless Networks,WN,CSE538/ECE538,CSE232,None,Winter,CSE
Mobile Computing,MC,CSE535,CSE101,None,Monsoon,CSE
Multi-Agent Systems,MAS,CSE531,None,None,Monsoon/Winter,CSE
Distributed Systems: Concepts & Design,DSCD,CSE530,CSE232,None,Winter,CSE
Approximation Algorithms,AAG,CSE529,CSE222,None,Winter,CSE
Introduction to Blockchain and Cryptocurrency,IBC,CSE528,CSE546,None,Winter,CSE
Lattices in Computer Science,LCS,CSE526,MTH100/MTH201/ECE501/CSE222,None,Winter,CSE
Introduction to Graduate Algorithms,GA,CSE525,CSE222,None,Monsoon,CSE
Theory of Modern cryptography,TMC,CSE524,None,None,Monsoon,CSE
Randomized Algorithms,RA,CSE523,"CSE222, CSE121, MTH201",None,Monsoon,CSE
Concurrent and Learned Data Structures,CLDS,CSE518,"CSE101, CSE102, CSE201, CSE231",None,Winter,CSE
Theories of Deep Learning,TDL,CSE516/ECE559,"MTH100, MTH203, CSE343/CSE543/ECE563 or CSE342/CSE542",None,Winter,CSE
Bayesian Machine Learning,BML,CSE515/ECE551,MTH201,None,Monsoon,CSE
Parallel Runtimes for Modern Processors,PRMP,CSE513,"CSE201, CSE231",None,Monsoon,CSE
Parallel Runtimes for Modern Processors,PRMP,CSE513,"CSE231, CSE201",None,Monsoon,CSE
Computer Architecture,CA,CSE511/ECE511,None,None,Monsoon,CSE
Information Retrieval,IR,CSE508,"CSE102, CSE201, CSE202",None,Winter,CSE
Database System Implementation,DBSI,CSE507,"CSE202, CSE102",None,Monsoon,CSE
Data Mining,DMG,CSE506,"CSE202, CSE101, MTH100, MTH201",None,Monsoon,CSE
Decision Procedures,DP,CSE504,"CSE102 or CSE201, CSE121 or MTH210",None,Winter,CSE
Program Analysis,PA,CSE503,"CSE102, CSE201",None,Monsoon,CSE
Foundations of Parallel Programming,FPP,CSE502,"CSE101, CSE102, CSE201",None,Winter,CSE
Designing Human Centered Systems,DHCS,CSE501,None,DES204,Monsoon,CSE
Advanced Biometrics,BIOM,CSE441/CSE541,CSE343/CSE543/ECE563,None,Winter,CSE
Complexity Theory,CMPT,CSE421/CSE621,"CSE102, MTH201, CSE322, CSE121",None,Monsoon,CSE
Usable Security and Privacy,UsS,CSE3xx/5xx; DES3xx/5xx,None,None,Winter,CSE
Networks and System Security II,NSS-II,CSE354/CSE554,"CSE231, CSE232",None,Winter,CSE
Network Security,NSC,CSE350/CSE550,None,None,Monsoon,CSE
Foundations of Computer Security,FCS,CSE345/CSE545,None,None,Monsoon,CSE
Computer Vision,CV,CSE344/CSE544/ECE344/ECE544,MTH100,None,Winter,CSE
Statistical Machine Learning,SML,CSE342/CSE542/ECE356/ECE556,"CSE101, MTH201",PatternRecognition,Winter,CSE
Computer Graphics,CG,CSE333/CSE533,CSE101,None,Monsoon,CSE
Theory of Computation,ToC,CSE322,CSE121 or MTH210,None,Winter,CSE
Advanced Algorithms,AA,CSE320/CSE520,CSE102,None,Monsoon,CSE
Modern Algorithm Design,MAD,CSE319/CSE519,CSE222,None,Monsoon,CSE
Compilers,CMP,CSE301/CSE601,"MTH100, CSE101, CSE201, CSE102",None,Monsoon,CSE
Network Administration,NAD,CSE233,None,None,Winter,CSE
Computer Networks,CN,CSE232,"CSE101, CSE231, CSE222",None,Monsoon,CSE
Operating Systems,OS,CSE231,CSE102,None,Monsoon,CSE
Algorithm Design and Analysis,ALD,CSE223,CSE102,None,Winter,CSE
Algorithm Design and Analysis,ADA,CSE222,CSE102,None,Winter,CSE
Fundamentals of Database Management System,DBMS,CSE202,CSE102,None,Winter,CSE
Advanced Programming,AP,CSE201,"CSE101, CSE102",None,Monsoon,CSE
Introduction to Intelligent Systems,IIS,CSE140,None,None,Winter,CSE
Discrete Mathematics,DM,CSE121,None,MTH210,Monsoon,CSE
Computer Organization,CO,CSE112,ECE111,None,Winter,CSE
Data Structures & Algorithms,DSA,CSE102,CSE101,None,Winter,CSE
Introduction to Programming,IP,CSE101,None,None,Monsoon,CSE
Computational Methods in Oncology Research,CMOR,BIO5XX,None,None,Winter,CSE
Computing for Medicine,CM,BIO546/CSE585,None,None,Monsoon,CSE
Ergonomics/Human factors for Design,EFD,DES524,None,None,Monsoon,DES
Cognition and Information Processing in Design,CIPD,DES523,None,None,Winter,DES
"Inclusive Design, Universal Design & Accessibility",IDUDA,DES522,DES201,None,Monsoon,DES
Human Centred AI,HCAI,DES520,"DES204, CSE643 or CSE343/CSE543/ECE563 or CSE440",None,Monsoon,DES
Introduction to Motion Graphics,IMG,DES518,None,None,Monsoon,DES
Introduction to 3D Animation,I3D,DES516s,None,DES302,Winter,DES
